@relation 'drg_DRG194_set-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-weka.filters.unsupervised.attribute.Remove-R2,4,7-weka.filters.unsupervised.attribute.Remove-R1'

@attribute providerRegionDescription {RIDCASantaCruz,RIDCTHartford,RIDFLMiami,RIDFLOcala,RIDALDothan,RIDALBirmingham,RIDALMontgomery,RIDALHuntsville,RIDALMobile,RIDGARome,RIDFLPensacola,RIDFLOrlando,RIDMSTupelo,RIDALTuscaloosa,RIDAKAnchorage,RIDAZPhoenix,RIDAZTucson,RIDAZMesa,RIDAZSunCity,RIDNMAlbuquerque,RIDNVLasVegas,RIDARSpringdale,RIDARLittleRock,RIDARFortSmith,RIDTNMemphis,RIDARJonesboro,RIDMOSpringfield,RIDARTexarkana,RIDCAAlamedaCounty,RIDCARedding,RIDCASanMateoCounty,RIDCASanFrancisco,RIDCANapa,RIDCASacramento,RIDCASanLuisObispo,RIDCALosAngeles,RIDCASanBernardino,RIDCASanDiego,RIDCAChico,RIDCABakersfield,RIDCASanJose,RIDCAFresno,RIDCAOrangeCounty,RIDCAVentura,RIDCAStockton,RIDCASantaRosa,RIDCASantaBarbara,RIDCASalinas,RIDCAModesto,RIDCAContraCostaCounty,RIDCAPalmSprings/RanchoM,RIDORMedford,RIDCOGreeley,RIDCOBoulder,RIDCODenver,RIDCOGrandJunction,RIDCOColoradoSprings,RIDCOFortCollins,RIDCOPueblo,RIDCTNewHaven,RIDCTBridgeport,RIDDEWilmington,RIDMDSalisbury,RIDDCWashington,RIDFLJacksonville,RIDFLFortLauderdale,RIDFLFortMyers,RIDFLOrmondBeach,RIDFLPanamaCity,RIDFLSt.Petersburg,RIDFLBradenton,RIDFLClearwater,RIDFLTampa,RIDFLHudson,RIDFLSarasota,RIDFLGainesville,RIDFLTallahassee,RIDFLLakeland,RIDGAAtlanta,RIDGAMacon,RIDTNChattanooga,RIDGAAlbany,RIDGASavannah,RIDGAAugusta,RIDGAColumbus,RIDHIHonolulu,RIDIDBoise,RIDWASpokane,RIDIDIdahoFalls,RIDUTSaltLakeCity,RIDILPeoria,RIDMOSt.Louis,RIDILJoliet,RIDILMelrosePark,RIDILEvanston,RIDILRockford,RIDILSpringfield,RIDILChicago,RIDILAurora,RIDILElgin,RIDILBlueIsland,RIDWIMilwaukee,RIDILUrbana,RIDILHinsdale,RIDILBloomington,RIDINEvansville,RIDKYPaducah,RIDIADavenport,RIDINIndianapolis,RIDINGary,RIDINLafayette,RIDINMunster,RIDINSouthBend,RIDKYLouisville,RIDINFortWayne,RIDINTerreHaute,RIDOHCincinnati,RIDINMuncie,RIDIADesMoines,RIDIAIowaCity,RIDNEOmaha,RIDIAWaterloo,RIDIACedarRapids,RIDIAMasonCity,RIDIADubuque,RIDSDSiouxFalls,RIDIASiouxCity,RIDKSTopeka,RIDMOJoplin,RIDMOKansasCity,RIDKSWichita,RIDOKTulsa,RIDTXAmarillo,RIDKYCovington,RIDKYLexington,RIDTNNashville,RIDWVHuntington,RIDTNKnoxville,RIDKYOwensboro,RIDLAMetairie,RIDLALafayette,RIDLAHouma,RIDLAShreveport,RIDLAMonroe,RIDLALakeCharles,RIDLABatonRouge,RIDLAAlexandria,RIDLANewOrleans,RIDLASlidell,RIDMEBangor,RIDMEPortland,RIDMDBaltimore,RIDMDTakomaPark,RIDWVMorgantown,RIDMAWorcester,RIDMABoston,RIDRIProvidence,RIDMASpringfield,RIDNYAlbany,RIDMIAnnArbor,RIDMIGrandRapids,RIDMIMuskegon,RIDMIKalamazoo,RIDMIRoyalOak,RIDMIDearborn,RIDMISt.Joseph,RIDMIDetroit,RIDMIPontiac,RIDMILansing,RIDMISaginaw,RIDMIMarquette,RIDWIGreenBay,RIDMITraverseCity,RIDOHToledo,RIDMIPetoskey,RIDMIFlint,RIDMNMinneapolis,RIDMNDuluth,RIDMNRochester,RIDMNSt.Cloud,RIDMNSt.Paul,RIDWILaCrosse,RIDNDFargo/MoorheadMN,RIDNHLebanon,RIDMSJackson,RIDMSGulfport,RIDMSOxford,RIDMSMeridian,RIDMSHattiesburg,RIDMOColumbia,RIDMOCapeGirardeau,RIDMTBillings,RIDMTGreatFalls,RIDMTMissoula,RIDNELincoln,RIDNVReno,RIDNHManchester,RIDNJHackensack,RIDNJNewark,RIDPAPhiladelphia,RIDNJNewBrunswick,RIDNJCamden,RIDNJRidgewood,RIDNJMorristown,RIDNJPaterson,RIDPAAllentown,RIDTXElPaso,RIDTXLubbock,RIDNYEastLongIsland,RIDNYBuffalo,RIDNYWhitePlains,RIDNYRochester,RIDNYBronx,RIDNYBinghamton,RIDNYManhattan,RIDNYElmira,RIDVTBurlington,RIDNYSyracuse,RIDPAErie,RIDPASayre,RIDNCCharlotte,RIDNCAsheville,RIDNCWinstonSalem,RIDNCDurham,RIDNCRaleigh,RIDNCGreenville,RIDNCHickory,RIDTNJohnsonCity,RIDNCGreensboro,RIDNCWilmington,RIDOREugene,RIDVANorfolk,RIDNDBismarck,RIDNDMinot,RIDNDGrandForks,RIDOHColumbus,RIDOHDayton,RIDOHCanton,RIDOHAkron,RIDOHCleveland,RIDOHKettering,RIDOHYoungstown,RIDPAPittsburgh,RIDOHElyria,RIDOKOklahomaCity,RIDTXDallas,RIDOKLawton,RIDORPortland,RIDORBend,RIDORSalem,RIDPAScranton,RIDPADanville,RIDPAHarrisburg,RIDPAReading,RIDPAJohnstown,RIDPAYork,RIDPAAltoona,RIDPALancaster,RIDPAWilkesBarre,RIDSCCharleston,RIDSCFlorence,RIDSCSpartanburg,RIDSCGreenville,RIDSCColumbia,RIDSDRapidCity,RIDTNJackson,RIDTNKingsport,RIDTXBeaumont,RIDTXSanAntonio,RIDTXWichitaFalls,RIDTXBryan,RIDTXHouston,RIDTXVictoria,RIDTXHarlingen,RIDTXLongview,RIDTXFortWorth,RIDTXWaco,RIDTXCorpusChristi,RIDTXTemple,RIDTXAbilene,RIDTXAustin,RIDTXTyler,RIDTXMcAllen,RIDTXOdessa,RIDTXSanAngelo,RIDUTProvo,RIDUTOgden,RIDVACharlottesville,RIDVAWinchester,RIDWIMarshfield,RIDVARichmond,RIDVALynchburg,RIDVAArlington,RIDVARoanoke,RIDVANewportNews,RIDWASeattle,RIDWAEverett,RIDWAYakima,RIDWAOlympia,RIDWATacoma,RIDWVCharleston,RIDWIAppleton,RIDWIWausau,RIDWIMadison,RIDWINeenah,RIDWYCasper}
@attribute averageCoveredPayments {'\'(-inf-16988.408]\'','\'(16988.408-28884.216]\'','\'(28884.216-40780.024]\'','\'(40780.024-52675.832]\'','\'(52675.832-64571.64]\'','\'(64571.64-76467.448]\'','\'(76467.448-88363.256]\'','\'(88363.256-100259.064]\'','\'(100259.064-112154.872]\'','\'(112154.872-inf)\''}
@attribute averageTotalPayments {'\'(-inf-6573.001]\'','\'(6573.001-8426.802]\'','\'(8426.802-10280.603]\'','\'(10280.603-12134.404]\'','\'(12134.404-13988.205]\'','\'(13988.205-15842.006]\'','\'(15842.006-17695.807]\'','\'(17695.807-19549.608]\'','\'(19549.608-21403.409]\'','\'(21403.409-inf)\''}

@data
RIDGAAtlanta,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDGAColumbus,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDGAMacon,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDGASavannah,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDGAMacon,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDGAAtlanta,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDGASavannah,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDGAAtlanta,'\'(-inf-16988.408]\'','\'(6573.001-8426.802]\''
RIDGAAtlanta,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDGAAtlanta,'\'(16988.408-28884.216]\'','\'(8426.802-10280.603]\''
RIDGAAtlanta,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDGAAtlanta,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDGAAugusta,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDGAAtlanta,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDFLJacksonville,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDGAAtlanta,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDGAMacon,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDFLTallahassee,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDGAMacon,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDFLTallahassee,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDGAMacon,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDGAAugusta,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDGAAugusta,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDGAAugusta,'\'(-inf-16988.408]\'','\'(6573.001-8426.802]\''
RIDGAAtlanta,'\'(40780.024-52675.832]\'','\'(6573.001-8426.802]\''
RIDFLTallahassee,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDFLTallahassee,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDGASavannah,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDGAMacon,'\'(28884.216-40780.024]\'','\'(6573.001-8426.802]\''
RIDGASavannah,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDGAColumbus,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDFLTallahassee,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDGAMacon,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDGASavannah,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDGAAtlanta,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDFLJacksonville,'\'(16988.408-28884.216]\'','\'(10280.603-12134.404]\''
RIDGAMacon,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDGAMacon,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDGAAtlanta,'\'(28884.216-40780.024]\'','\'(-inf-6573.001]\''
RIDGAAlbany,'\'(28884.216-40780.024]\'','\'(6573.001-8426.802]\''
RIDGAMacon,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDGAAtlanta,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDGARome,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDGAAugusta,'\'(64571.64-76467.448]\'','\'(6573.001-8426.802]\''
RIDGAAtlanta,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDGAAtlanta,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDGAColumbus,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDGAAtlanta,'\'(28884.216-40780.024]\'','\'(-inf-6573.001]\''
RIDGAMacon,'\'(-inf-16988.408]\'','\'(6573.001-8426.802]\''
RIDGAAtlanta,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDGAAtlanta,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDALDothan,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDGAAtlanta,'\'(52675.832-64571.64]\'','\'(-inf-6573.001]\''
RIDGAMacon,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDGAAtlanta,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDGAAtlanta,'\'(-inf-16988.408]\'','\'(6573.001-8426.802]\''
RIDFLTallahassee,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDGAAtlanta,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDGAAtlanta,'\'(52675.832-64571.64]\'','\'(6573.001-8426.802]\''
RIDGAAtlanta,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDGAAtlanta,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDGAAtlanta,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDGAAtlanta,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDHIHonolulu,'\'(16988.408-28884.216]\'','\'(8426.802-10280.603]\''
RIDHIHonolulu,'\'(16988.408-28884.216]\'','\'(12134.404-13988.205]\''
RIDHIHonolulu,'\'(-inf-16988.408]\'','\'(8426.802-10280.603]\''
RIDHIHonolulu,'\'(16988.408-28884.216]\'','\'(8426.802-10280.603]\''
RIDHIHonolulu,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDHIHonolulu,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDHIHonolulu,'\'(16988.408-28884.216]\'','\'(8426.802-10280.603]\''
RIDHIHonolulu,'\'(-inf-16988.408]\'','\'(8426.802-10280.603]\''
RIDHIHonolulu,'\'(16988.408-28884.216]\'','\'(10280.603-12134.404]\''
RIDHIHonolulu,'\'(16988.408-28884.216]\'','\'(13988.205-15842.006]\''
RIDHIHonolulu,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDHIHonolulu,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDHIHonolulu,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDIDBoise,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDWASpokane,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDIDBoise,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDIDBoise,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDIDBoise,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDIDBoise,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDIDIdahoFalls,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDIDIdahoFalls,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDUTSaltLakeCity,'\'(-inf-16988.408]\'','\'(6573.001-8426.802]\''
RIDWASpokane,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDILPeoria,'\'(-inf-16988.408]\'','\'(6573.001-8426.802]\''
RIDMOSt.Louis,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDILJoliet,'\'(28884.216-40780.024]\'','\'(-inf-6573.001]\''
RIDILMelrosePark,'\'(52675.832-64571.64]\'','\'(-inf-6573.001]\''
RIDILEvanston,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDMOSt.Louis,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDILRockford,'\'(28884.216-40780.024]\'','\'(-inf-6573.001]\''
RIDILPeoria,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDILSpringfield,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDILChicago,'\'(16988.408-28884.216]\'','\'(8426.802-10280.603]\''
RIDILSpringfield,'\'(-inf-16988.408]\'','\'(6573.001-8426.802]\''
RIDILPeoria,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDILAurora,'\'(28884.216-40780.024]\'','\'(6573.001-8426.802]\''
RIDILElgin,'\'(28884.216-40780.024]\'','\'(6573.001-8426.802]\''
RIDILSpringfield,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDMOSt.Louis,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDILPeoria,'\'(28884.216-40780.024]\'','\'(6573.001-8426.802]\''
RIDILRockford,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDMOSt.Louis,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDILChicago,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDILMelrosePark,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDILEvanston,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDMOSt.Louis,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDILSpringfield,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDILMelrosePark,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDILSpringfield,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDMOSt.Louis,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDILBlueIsland,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDILMelrosePark,'\'(28884.216-40780.024]\'','\'(6573.001-8426.802]\''
RIDILPeoria,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDILMelrosePark,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDILPeoria,'\'(28884.216-40780.024]\'','\'(6573.001-8426.802]\''
RIDILChicago,'\'(28884.216-40780.024]\'','\'(6573.001-8426.802]\''
RIDMOSt.Louis,'\'(-inf-16988.408]\'','\'(6573.001-8426.802]\''
RIDILEvanston,'\'(28884.216-40780.024]\'','\'(8426.802-10280.603]\''
RIDILChicago,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDILChicago,'\'(-inf-16988.408]\'','\'(8426.802-10280.603]\''
RIDWIMilwaukee,'\'(28884.216-40780.024]\'','\'(6573.001-8426.802]\''
RIDILChicago,'\'(28884.216-40780.024]\'','\'(10280.603-12134.404]\''
RIDILSpringfield,'\'(-inf-16988.408]\'','\'(6573.001-8426.802]\''
RIDILUrbana,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDILUrbana,'\'(28884.216-40780.024]\'','\'(-inf-6573.001]\''
RIDILChicago,'\'(28884.216-40780.024]\'','\'(6573.001-8426.802]\''
RIDILJoliet,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDILChicago,'\'(16988.408-28884.216]\'','\'(8426.802-10280.603]\''
RIDILPeoria,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDILUrbana,'\'(28884.216-40780.024]\'','\'(-inf-6573.001]\''
RIDILChicago,'\'(28884.216-40780.024]\'','\'(6573.001-8426.802]\''
RIDILChicago,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDILElgin,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDILChicago,'\'(28884.216-40780.024]\'','\'(-inf-6573.001]\''
RIDILBlueIsland,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDILChicago,'\'(16988.408-28884.216]\'','\'(10280.603-12134.404]\''
RIDILPeoria,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDILHinsdale,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDILChicago,'\'(-inf-16988.408]\'','\'(10280.603-12134.404]\''
RIDMOSt.Louis,'\'(40780.024-52675.832]\'','\'(6573.001-8426.802]\''
RIDILBloomington,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDILEvanston,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDILChicago,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDILSpringfield,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDMOSt.Louis,'\'(-inf-16988.408]\'','\'(6573.001-8426.802]\''
RIDILPeoria,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDMOSt.Louis,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDINEvansville,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDILSpringfield,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDILChicago,'\'(16988.408-28884.216]\'','\'(12134.404-13988.205]\''
RIDILJoliet,'\'(28884.216-40780.024]\'','\'(6573.001-8426.802]\''
RIDILChicago,'\'(-inf-16988.408]\'','\'(8426.802-10280.603]\''
RIDILRockford,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDILBloomington,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDILBloomington,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDMOSt.Louis,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDILSpringfield,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDILUrbana,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDILBlueIsland,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDILAurora,'\'(28884.216-40780.024]\'','\'(6573.001-8426.802]\''
RIDILRockford,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDILChicago,'\'(28884.216-40780.024]\'','\'(8426.802-10280.603]\''
RIDILBlueIsland,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDILChicago,'\'(28884.216-40780.024]\'','\'(8426.802-10280.603]\''
RIDILChicago,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDILChicago,'\'(28884.216-40780.024]\'','\'(8426.802-10280.603]\''
RIDKYPaducah,'\'(28884.216-40780.024]\'','\'(-inf-6573.001]\''
RIDMOSt.Louis,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDILJoliet,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDMOSt.Louis,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDILUrbana,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDILBlueIsland,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDILChicago,'\'(16988.408-28884.216]\'','\'(8426.802-10280.603]\''
RIDILMelrosePark,'\'(28884.216-40780.024]\'','\'(6573.001-8426.802]\''
RIDWIMilwaukee,'\'(28884.216-40780.024]\'','\'(6573.001-8426.802]\''
RIDILChicago,'\'(28884.216-40780.024]\'','\'(8426.802-10280.603]\''
RIDILBlueIsland,'\'(16988.408-28884.216]\'','\'(8426.802-10280.603]\''
RIDILPeoria,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDINEvansville,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDILMelrosePark,'\'(28884.216-40780.024]\'','\'(-inf-6573.001]\''
RIDILJoliet,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDILElgin,'\'(28884.216-40780.024]\'','\'(-inf-6573.001]\''
RIDILEvanston,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDILChicago,'\'(28884.216-40780.024]\'','\'(8426.802-10280.603]\''
RIDILRockford,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDILHinsdale,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDILRockford,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDILPeoria,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDILRockford,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDILMelrosePark,'\'(28884.216-40780.024]\'','\'(8426.802-10280.603]\''
RIDILMelrosePark,'\'(28884.216-40780.024]\'','\'(6573.001-8426.802]\''
RIDILBlueIsland,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDILChicago,'\'(28884.216-40780.024]\'','\'(6573.001-8426.802]\''
RIDILEvanston,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDILMelrosePark,'\'(28884.216-40780.024]\'','\'(-inf-6573.001]\''
RIDIADavenport,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDILMelrosePark,'\'(16988.408-28884.216]\'','\'(8426.802-10280.603]\''
RIDIADavenport,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDILChicago,'\'(28884.216-40780.024]\'','\'(8426.802-10280.603]\''
RIDILRockford,'\'(28884.216-40780.024]\'','\'(-inf-6573.001]\''
RIDILHinsdale,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDMOSt.Louis,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDILElgin,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDILElgin,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDILMelrosePark,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDMOSt.Louis,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDILHinsdale,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDINIndianapolis,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDINGary,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDINLafayette,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDINMunster,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDINIndianapolis,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDINSouthBend,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDINIndianapolis,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDINMunster,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDKYLouisville,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDINIndianapolis,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDINIndianapolis,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDINSouthBend,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDINGary,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDINFortWayne,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDINSouthBend,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDINFortWayne,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDINIndianapolis,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDINTerreHaute,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDINIndianapolis,'\'(-inf-16988.408]\'','\'(8426.802-10280.603]\''
RIDINSouthBend,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDINIndianapolis,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDINIndianapolis,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDINGary,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDINGary,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDINIndianapolis,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDINIndianapolis,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDINEvansville,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDKYLouisville,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDINFortWayne,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDINTerreHaute,'\'(28884.216-40780.024]\'','\'(-inf-6573.001]\''
RIDINIndianapolis,'\'(-inf-16988.408]\'','\'(6573.001-8426.802]\''
RIDINIndianapolis,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDINIndianapolis,'\'(16988.408-28884.216]\'','\'(8426.802-10280.603]\''
RIDINIndianapolis,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDINSouthBend,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDINIndianapolis,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDINEvansville,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
